,First Rand,Investec Group,MTN Group,Aveng Limited
2012-06-13,2690.0,2607.944580078125,13589.0,1669.498779296875
2012-06-14,2675.0,2593.671630859375,13500.0,1669.0667724609375
2012-06-15,2644.0,2679.8798828125,13596.0,1677.7059326171875
2012-06-18,2696.0,2749.53173828125,13913.0,1666.9071044921875
2012-06-19,2760.0,2769.513671875,13880.0,1697.143798828125
2012-06-20,2779.0,2806.05224609375,13819.0,1690.66455078125
2012-06-21,2782.0,2780.931884765625,13990.0,1656.5401611328125
2012-06-22,2785.0,2756.95361328125,13800.0,1621.98388671875
2012-06-25,2763.0,2739.255126953125,14097.0,1606.8656005859375
2012-06-26,2699.0,2753.528076171875,14190.0,1626.303466796875
2012-06-27,2716.0,2757.5244140625,14249.0,1555.03125
2012-06-28,2640.0,2708.42578125,14000.0,1550.711669921875
2012-06-29,2639.0,2728.978759765625,14092.0,1546.39208984375
2012-07-02,2690.0,2786.0703125,14195.0,1545.960205078125
2012-07-03,2730.0,2844.3037109375,14200.0,1546.8240966796875
2012-07-04,2699.0,2826.034423828125,14201.0,1585.2679443359375
2012-07-05,2682.0,2839.16552734375,14460.0,1585.2679443359375
2012-07-06,2698.0,2804.910400390625,14480.0,1585.2679443359375
2012-07-09,2669.0,2791.779296875,14413.0,1511.8359375
2012-07-10,2700.0,2837.45263671875,14650.0,1509.6761474609375
2012-07-11,2710.0,2822.60888671875,14492.0,1485.918701171875
2012-07-12,2681.0,2797.488525390625,14170.0,1477.279541015625
2012-07-13,2655.0,2860.289306640625,14487.0,1490.2381591796875
2012-07-16,2710.0,2871.707763671875,14421.0,1490.2381591796875
2012-07-17,2738.0,2870.56591796875,14350.0,1490.2381591796875
2012-07-18,2772.0,2883.1259765625,14550.0,1467.7767333984375
2012-07-19,2753.0,2924.802978515625,14750.0,1466.4808349609375
2012-07-20,2717.0,2892.2607421875,14730.0,1432.3564453125
2012-07-23,2697.0,2751.815185546875,14300.0,1420.2618408203125
2012-07-24,2691.0,2740.39697265625,14715.0,1438.8358154296875
2012-07-25,2703.0,2752.957275390625,15103.0,1463.88916015625
2012-07-26,2700.0,2771.79736328125,15120.0,1441.427490234375
2012-07-27,2765.0,2788.9248046875,15516.0,1501.037109375
